Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	12-5	12-6	12-13	12-15	18-1	18-2	18-3	18-8
gbgene8986	286.77198899244	-1.63063130237145	0.842614671207901	-1.93520402396259	0.0529652641535729	1	188	989	162	163	79	85	290	186
gbgene9235	9.0139697070148	4.74891775847254	2.51695788463011	1.88676885992887	0.0591914212439247	1	0	0	0	3	4	0	0	88
gbgene9241	66.0644838138128	-3.73503378536453	1.29072775695168	-2.89374251483178	0.00380680190825928	1	610	5	14	25	5	12	19	2
gbgene9365	1029.39049830871	-4.20668299753331	1.31304260339167	-3.20376733143859	0.00135642046120103	1	73	137	7826	118	71	131	113	118
gbgene9441	769.295529635992	-1.73338508526311	1.5553353672637	-1.11447673713783	0.265074718885561	1	15	5	4683	284	87	813	183	208
gbgene9535	115.817548906545	1.3851128990631	1.3019717742473	1.06385785503213	0.28739309761625	1	257	36	11	10	24	470	40	24
gbgene9538	63.7542787441697	-1.28006282880402	1.49601490304003	-0.855648447219895	0.392192263650441	1	446	15	7	6	2	105	7	12
gbgene9658	17.6601396082073	6.94187721201312	2.63359939763877	2.63588958071492	0.00839170339699831	1	0	0	0	1	0	110	2	0
gbgene10014	43.0764434321481	-3.79980217568422	1.62744242892274	-2.33483047274333	0.0195522786202071	1	420	0	10	2	11	2	7	3
gbgene10198	16.2748208619264	-2.21867863842417	1.00987296407619	-2.19698785624364	0.0280213135105738	1	10	4	9	102	5	6	4	9
gbgene10218	190.963586684667	-1.54563763515676	1.16957860873613	-1.32153377602127	0.186323448157125	1	1410	21	44	32	96	31	191	123
gbgene10240	214.593288323096	-0.943194796243647	0.740729551320394	-1.27333220952552	0.202900181730656	1	149	545	138	201	76	224	149	136
gbgene10261	19.877441005252	1.18878788689094	1.3710905829019	0.867038182389733	0.385921089352761	1	19	4	28	3	4	2	1	139
gbgene10294	143.182521486475	-0.996611234407359	0.873257123119712	-1.14125749223432	0.253762785737031	1	131	83	80	571	207	50	39	58
gbgene11331	22.2753001129581	-0.156411969989459	0.949237934884105	-0.164776358214714	0.869120013068912	1	42	4	35	29	4	9	8	84
gbgene11449	17.782385831665	-5.50843933743462	1.60695644059922	-3.42787097289368	0.000608334514409309	1	7	5	3	148	0	2	0	1
gbgene11482	24.3226981249567	-4.48763572512466	1.55556167444872	-2.88489733247962	0.00391541326906584	1	8	1	183	5	1	2	6	0
gbgene11565	14.5300474625829	-6.63587664294355	2.25450688513367	-2.94338273557773	0.00324646786554472	1	152	1	2	0	0	0	1	0
gbgene11598	9.50608704891455	-4.7098022255703	1.52837155573934	-3.0815819673456	0.00205903777899834	1	3	49	5	2	0	1	1	1
gbgene11680	15.0257176666896	-0.0994816994063334	1.44965949768374	-0.0686241835170843	0.945288768578488	1	5	39	3	5	1	42	4	1
gbgene11884	10.2394498231585	-6.85577420415969	2.96965428539961	-2.30861021024107	0.0209652208580624	1	2	61	0	0	0	0	0	0
gbgene12137	1841.95392144862	-2.59566149559895	0.851185723691568	-3.04946549660353	0.00229248964491683	1	12680	854	1312	1071	635	236	389	1003
gbgene12307	206.290611359134	-1.40306347167959	0.717364544288421	-1.95585840260804	0.0504818367144566	1	190	616	131	143	93	93	115	185
gbgene12368	136.884365665697	-2.65591949230365	1.47373456749758	-1.80216950248607	0.0715187413708562	1	1236	16	7	5	38	67	16	11
gbgene12389	2247.39556259753	-3.06361051241054	1.08052511271202	-2.83529783469924	0.00457829814559176	1	736	10613	1318	310	427	461	706	395
gbgene12455	958.509741847542	-4.33436917932265	1.27666240845809	-3.3950785662731	0.000686089092998557	1	555	5080	101	120	129	11	131	128
gbgene12458	32.2336481161643	1.451416317704	1.28439093351549	1.13004248148291	0.25845832444035	1	3	0	61	10	15	95	40	28
gbgene12656	14.7155312546194	0.823581505647136	2.19810551895861	0.374677875353919	0.707900048501484	1	2	0	43	0	1	2	0	97
gbgene12660	1162.21995913302	2.01176462163403	0.959486408598732	2.09670986853486	0.0360192663875307	1	48	288	724	881	681	4023	885	1198
gbgene12667	45.0222604182328	-4.85426113721	1.54963332083162	-3.13252243092252	0.0017331118404578	1	16	250	1	7	3	0	7	4
gbgene12685	25.7946988192758	0.214084970346015	1.02038652556042	0.20980771990147	0.833817747557426	1	19	3	76	6	13	15	15	88
gbgene12805	32.1242420446984	-3.85109598841973	2.06257083901	-1.86713392606103	0.0618828877867324	1	313	0	0	11	5	0	13	1
gbgene12838	103.866720530005	-0.724278109872655	0.967011909232963	-0.748985718745858	0.453865813162642	1	533	21	63	43	34	40	49	251
gbgene12912	36.5412332379485	-1.21564064138136	1.23060928693915	-0.987836394770739	0.323232780083463	1	16	5	21	197	58	2	10	12
