Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gbgene12027	0.41493633210061	0.244905910905624	0.921117200304392	0.271992252370614	0.78562797656905	NA
gbgene12041	4.30219983425398	1.28587075145289	0.959755820042088	1.33946744892787	0.180418544450438	NA
gbgene12042	3.58946442052031	-0.928277052556014	0.919612798699394	-1.00273840062186	0.315987096794913	NA
gbgene12052	3.34821600117957	-1.1947827665708	0.90251429551984	-1.31187162617546	0.1895634525143	NA
gbgene12059	3.65825219709035	-0.608451634288973	0.802646620004946	-0.757277407526388	0.448883683248418	NA
gbgene12060	0.626921671702122	-0.386710064474287	0.838245391319359	-0.495505154558351	0.620243584400679	NA
gbgene12092	1.92568342197424	-0.0198767664925992	0.896581259781336	-0.0220409138233194	0.982415318944439	NA
gbgene12095	4.63169169536582	0.00810202831892773	0.842972761999775	0.00962656337812589	0.992319232337568	NA
gbgene12110	2.57255952501942	-0.0367633164375004	0.929429170892514	-0.0396672859409622	0.968358383176401	NA
gbgene12111	2.73824381926819	-0.406313618026049	0.907075310476783	-0.446241841709505	0.655422561664339	NA
gbgene12113	0.581638596348848	0.273716405464257	0.931957809567167	0.276377786980568	0.782257915956892	NA
gbman.GBUE021170-PA.1	3.85002621024895	0.88578992923751	0.74500919012589	1.1828766556486	0.236858034691286	NA
gbgene12123	1.98093715472432	-0.348393852505272	0.978697253900864	-0.352732948310357	0.724288655878658	NA
gbgene12137	1842.18326971147	-2.17939251243124	0.716343073417427	-3.0455155244023	NA	NA
gbgene12143	0.926359681111911	-0.901965202057763	0.858209758629102	-1.0255211487495	0.305117351694001	NA
gbgene12144	1.17749080317103	-0.570055615470289	0.960570341466857	-0.585404005891302	0.55827609584579	NA
gbgene12145	1.27843133210907	0.568914996168953	0.939579193781979	0.684501947957854	0.493658259735727	NA
gbgene12146	3.35684904598939	-2.20830020621934	0.97591055835169	-2.3788369054212	0.0173673582164294	NA
gbgene12147	1.50936289774196	0.00590936146330654	0.977524172028131	0.00601195552470499	0.995203182402339	NA
gbgene12148	3.8609138416222	-0.821961451273936	0.72674250036529	-1.12819538211116	0.259237413749992	NA
gbgene12152	0.260005666144825	0.00697179645390638	0.830253551491668	0.00839401719480969	0.993302621926253	NA
gbgene12154	0.187292580111307	0.345921389501931	0.830253551491668	0.391148809573975	0.695687243981569	NA
gbgene12160	1.81247059274564	-1.98467539297231	0.975177155373042	-2.02097747420434	0.0432820969666423	NA
gbgene12167	0.553940320790464	-0.700851603941954	0.835801536334571	-0.776054281254766	0.437716936463776	NA
gbgene12169	0.441787923255372	-0.588802346460256	0.832796834426578	-0.670859482345379	0.502310050095466	NA
gbgene12176	0.369293547193643	-0.559385665515483	0.832166941436857	-0.604237008713134	0.545686079078809	NA
gbgene12194	3.3635849808828	-0.508148556731741	0.815944330381858	-0.618770954076403	0.536067259517724	NA
gbgene12224	0.988906577160842	-0.866397225839752	0.843192163923134	-1.01155590141435	0.311750439964121	NA
gbgene12226	0.679014184841339	-0.437937487119016	0.933023319508157	-0.426372649923463	0.669836327398296	NA
gbgene12227	1.07108713659384	-1.07604675623718	0.951192551079333	-1.09693857975646	0.272668242409003	NA
gbgene12228	0.305324565868981	-0.167227148520913	0.830551492633673	-0.191699302441655	0.847977752425147	NA
gbgene12230	0.782378743208514	0.845549902609358	0.847698027221599	0.941870757757456	0.346258813141229	NA
gbgene12231	0.426512507784049	-0.253390038239161	0.832324620086075	-0.28827219996859	0.773138385530293	NA
gbgene12234	0.638180725660786	-0.612954902643552	0.937365835636978	-0.680450309415596	0.496219375032628	NA
gbgene12235	0.19037580656937	0.345921389501931	0.830253551491668	0.394985125559426	0.692853865425422	NA
gbgene12236	0.598726978195475	0.672642110012127	0.934218684677031	0.685842312043424	0.492812551229062	NA
gbgene12237	1.74343348788889	1.32503707134439	0.946006737662762	1.36939366441374	0.170876253614292	NA
gbgene12239	1.06607337545381	-0.00227332183364185	0.931491583237271	-0.00244353119307671	0.998050346127384	NA
gbgene12258	0.285563709854055	0.49008663526691	0.831301837498359	0.509827221097537	0.610172513220366	NA
gbgene12261	3.31992471613657	-0.665776525029758	0.762776572256273	-0.869275716267174	0.384696341897896	NA
gbgene12264	0.329481493662622	-0.503849415003285	0.831249454586589	-0.548235962993993	0.583529891391051	NA
gbgene12278	0.329635525720281	-0.331977796594118	0.830253551491668	-0.485358204283594	0.627422274779227	NA
gbgene12279	1.44833057711298	-0.453159745571781	0.949438327114959	-0.485635808505729	0.627225403243872	NA
gbgene12280	0.329635525720281	-0.331977796594118	0.830253551491668	-0.485358204283594	0.627422274779227	NA
gbgene12281	4.18054626702501	-0.908742856327267	0.81361654790585	-1.1147031990021	0.264977629717898	NA
gbgene12285	1.94953039499867	-1.31808582329086	0.965666898058102	-1.50906320097314	0.131282632458863	NA
gbgene12294	0.315204993876443	-0.499131905026378	0.831177440074761	-0.533927258349171	0.593391862200723	NA
gbgene12307	206.316834051894	-1.23553080552911	0.632728045385977	-1.9528664102838	NA	NA
gbgene12313	0.632055569655388	0.739718196424529	0.835797333827876	0.82458910220747	0.409604910512761	NA
gbgene12331	5.07565396860489	-0.424443552434823	0.94438176970269	-0.448116980693024	0.654068773651682	NA
gbgene12338	2.53585541924876	-0.891052933692528	0.853177131197302	-1.03492981576367	0.300701689152604	NA
gbgene12339	0.187511290083096	0.00697179645390643	0.830253551491668	0.00839401719480951	0.993302621926253	NA
gbgene12340	4.19617884318504	1.1781723670917	0.83685602015414	1.39757506860771	0.162240709431293	NA
gbgene12341	3.9941317857217	-0.0366058695926474	0.660736664162963	-0.0554267401500949	0.955798493018047	NA
gbgene12342	2.70202624000809	-1.18988462662213	0.798179146660843	-1.47477222366917	0.140273791243292	NA
gbgene12343	0.61635804883733	0.239450646805703	0.932582392638969	0.244107510255283	0.80714755612742	NA
gbgene12349	4.65834027829218	0.677959783679978	0.958662989130808	0.706243728279407	0.480036580935552	NA
gbgene12368	136.915243652757	-1.6703832080526	0.940920549381751	-1.79961056669604	NA	NA
gbgene12377	0.775539624297434	-0.182060624321057	0.976965843821802	-0.185611479725251	0.852749450488887	NA
gbgene12385	1.95961680322918	-0.374642548358394	0.864925665629611	-0.433641595210458	0.664548724558853	NA
gbgene12386	0.390632041146203	0.28301771732893	0.83273623109969	0.304048648981175	0.7610908279733	NA
gbgene12389	2247.31159378341	-2.32904476074863	0.831007862230183	-2.81667010756045	NA	NA
gbgene12390	1122.78107735715	-4.38478903519055	0.931478862651116	-5.29390162258853	NA	NA
gbgene12391	4906.69974208455	-4.14649564994611	0.929171199955873	-4.90817929795032	NA	NA
gbgene12397	1.63326836151904	-1.40289871311196	0.898213618726848	-1.51051036677498	0.130913246152973	NA
gbgene12400	2.611309783937	-1.18863656551423	0.895160024102992	-1.57926000363762	0.114276431839479	NA
