Gene_id,GB-12-6_S45,GB-12-5_S44,GB-12-13_S47,GB-12-15_S48,GB-18-1_S41,GB-18-2_S42,GB-18-3_S43,SB-18-8-S46
jg7154,1008,446,1868,21,0,21,8,2
jg30553,0,0,0,1,0,0,0,2
jg2463,2,3,5,5,0,0,3,3
jg20110,0,0,0,0,0,0,2,0
jg29612,83,167,23,36,11,1,32,27
jg2437,0,1,0,4,5,12,1,15
jg7257,54,128,107,77,36,75,85,97
jg6947,17773,36581,13945,23464,17562,7833,27401,27366
jg3507,13,7,0,3,3,5,4,2
jg28643,44,94,33,32,22,40,38,44
jg16253,0,0,0,0,0,0,1,0
jg26648,0,0,0,0,0,0,2,0
jg19781,34,249,24,4,1,1,9,9
jg16876,0,0,0,0,0,0,0,1
jg2317,243,684,252,430,259,234,430,382
jg19460,2646,7679,7630,9549,3192,6871,2501,1350
jg10004,17,69,57,68,44,85,53,51
jg10896,1,2,1,0,1,0,0,0
jg12628,4307,7865,7198,5917,5037,7347,7496,9116
jg19657,13,13,2,13,12,3,11,15
jg36770,0,7,2,3,5,0,2,5
jg10971,1282,1918,793,1510,1425,1,2076,2134
jg11355,0,0,0,0,0,0,0,0
jg19338,6,22,23,18,30,29,9,22
jg17901,0,0,3,2,3,1,2,1
jg8367,54,139,54,56,29,53,60,120
jg1154,0,0,1,8,2,2,0,3
jg9348,429,501,183,237,12,0,475,85
jg1787,10,10,13,19,43,4,38,24
jg26010,49,140,3,2,4,0,1,1
jg22841,3,19,21,12,1,47,13,9
jg1419,416,363,7,3,10,8,20,49
jg9936,2,9,1,2,5,23,17,22
jg9942,0,1,0,0,1,0,0,0
7426_g,21,46,50,36,50,87,40,70
jg20604,0,0,0,0,0,0,0,0
jg37070,1,0,0,0,0,0,0,0
jg7252,4,0,0,3,0,0,5,3
jg35234,4,1,3,3,0,0,0,5
jg36748,1,20,2,15,6,14,14,3
jg36056,164,239,41,51,112,52,165,68
jg36987,0,0,0,0,0,0,0,0
jg32784,0,0,0,0,0,0,0,0
jg36746,38,63,23,49,561,1543,131,3
jg32499,0,0,0,0,0,0,0,0
jg19514,0,2,0,3,0,0,0,5
jg19843,1017,3063,1417,2500,1572,178,2887,2818
jg24598,0,0,0,0,0,0,0,0
jg21136,190,393,151,367,234,0,244,361
jg8923,8,25,0,0,1,1,1,0
jg16144,0,0,0,0,0,0,0,0
jg8279,20,24,22,10,6,11,33,24
9682_g,0,2,6,10,10,18,9,23
jg3019,1072,2385,390,952,1822,2236,3511,1620
jg30577,0,1,0,0,0,0,0,0
jg28663,8,28,2,10,9,1,5,3
jg22099,48,102,210,162,147,241,191,110
jg2656,0,0,0,0,0,0,0,15
jg14326,296,179,1015,703,223,1038,516,302
jg22288,0,0,0,0,0,0,0,0
jg3179,0,3,4,7,16,0,12,8
jg9697,0,1,0,0,0,0,0,1
19594_g,1,13,10,8,3,3,12,11
jg16431,70,139,32,72,39,0,43,43
