transcripts	GO-terms
gbgene279	GO:0045944,GO:0006338,GO:0006355,GO:0045893,GO:0007283,GO:0031213,GO:0035092,GO:0005524,GO:0006357,GO:0042752,GO:0031491,GO:0035041,GO:0034728,GO:0005515,GO:0008094,GO:0031010,GO:0016887,GO:0035063,GO:0003677,GO:0045892,GO:0005667,GO:0016590,GO:0140658,GO:0006334,GO:0005634,GO:0035076,GO:0000785,GO:0000166,GO:0006325,GO:0016589,GO:0140297,GO:0005700,GO:0008623
gbgene280	
gbgene281	
gbgene282	GO:0043565
gbgene283	
gbgene284	GO:0005509
gbgene285	
gbgene286	GO:0031267,GO:0005802,GO:0099518
gbgene287	GO:0005737,GO:0007391,GO:0005938,GO:0007265,GO:0031098,GO:0007169,GO:0046529,GO:0007394,GO:0007476
gbman.GBUE021076-PA.1	GO:0003729,GO:0035206,GO:0022611,GO:0007268,GO:0005634
gbgene289	
gbgene290	
gbgene291	
gbgene292	
gbgene293	
gbgene294	
gbgene295	
gbgene296	
gbgene297	
gbgene298	
gbgene299	GO:0005737,GO:0010992,GO:0043161,GO:0043130,GO:0005634
gbgene300	GO:0019005,GO:0031146
gbgene301	
gbgene302	
gbgene303	
gbgene304	GO:1902463,GO:0005887,GO:0098609,GO:0007431,GO:0007424,GO:0005886,GO:0044877,GO:0044331,GO:0005509,GO:0016339,GO:0007156,GO:0030950,GO:0045089,GO:0007440,GO:0007295,GO:0050829,GO:0098858,GO:0009925,GO:0007442,GO:0031254,GO:0051491,GO:0050839,GO:0060269,GO:0042247,GO:0005925,GO:0048477
gbgene305	
gbgene306	
gbgene307	
gbgene308	
gbgene309	
gbgene310	GO:1902463,GO:0005887,GO:0098609,GO:0007431,GO:0007424,GO:0005886,GO:0044877,GO:0044331,GO:0005509,GO:0016339,GO:0007156,GO:0030950,GO:0045089,GO:0007440,GO:0007295,GO:0050829,GO:0098858,GO:0009925,GO:0007442,GO:0031254,GO:0051491,GO:0050839,GO:0060269,GO:0042247,GO:0005925,GO:0048477
gbman.GBUE004870-PA.1	GO:0045944,GO:0035241,GO:0005737,GO:0005829,GO:0042054,GO:0035097,GO:0034969,GO:0120142,GO:0016571,GO:0005634,GO:0035242,GO:0019919,GO:0008469
gbgene312	GO:0005615,GO:0004568,GO:0040003,GO:0042060,GO:0006032,GO:0018990,GO:0005975,GO:0008061,GO:0005576
gbgene313	
gbgene314	GO:0003674,GO:0005575
gbgene315	GO:0048788,GO:1990709,GO:0007274,GO:0048789
gbgene316	
gbgene317	GO:0009897,GO:0007399,GO:0038023,GO:0050839,GO:0043235,GO:0031362
gbgene318	GO:0033353,GO:0005829,GO:0004013,GO:0019510
gbgene319	GO:0098632,GO:0008366,GO:0030424,GO:0045197,GO:0005918,GO:0007156,GO:0061343,GO:0019991,GO:0070593,GO:0005886,GO:0060857,GO:0007411,GO:0021682
gbman.GBUE020965-PA.1	GO:0001700,GO:0009267,GO:0005887,GO:0009792,GO:0008286,GO:0033500,GO:0007424,GO:0048542,GO:0005524,GO:0046777,GO:0061964,GO:0043548,GO:0060250,GO:0046620,GO:0034059,GO:0030307,GO:0008340,GO:0006468,GO:0048132,GO:0005515,GO:0070328,GO:0036335,GO:0008284,GO:0043559,GO:0046622,GO:0036099,GO:0042321,GO:0007446,GO:0055088,GO:2000377,GO:0007411,GO:0007390,GO:0030424,GO:0002052,GO:0042078,GO:1903688,GO:0008585,GO:0014068,GO:0090278,GO:0005009,GO:0010507,GO:0043410,GO:0030707,GO:0033674,GO:0043560,GO:0006979,GO:0042632,GO:0060180,GO:0048589,GO:0007626,GO:0048133,GO:0070346,GO:0007169,GO:0042220,GO:0007623,GO:0042593,GO:0045793,GO:2000252,GO:0007399,GO:0042127,GO:0090303,GO:0004713,GO:0007568,GO:0004714,GO:0051897,GO:0043235,GO:0040014,GO:0010884,GO:0005899,GO:1904801,GO:0040018,GO:0035264,GO:0007285
gbgene321	
gbgene322	GO:0000978,GO:0009653,GO:0030154,GO:0006357,GO:0000981
gbgene323	GO:0031370,GO:0003743,GO:0005515,GO:0016281,GO:0006413,GO:0000340,GO:0000339
gbgene324	GO:0005001,GO:0006470,GO:0007414,GO:0004725,GO:0035335,GO:0007415,GO:0008045,GO:0005886,GO:0030424
gbgene325	
gbman.GBUE001375-PA.1	GO:0007400,GO:0003700,GO:0006357,GO:0048749,GO:0000122,GO:0007411,GO:0035290,GO:0000981,GO:0000978,GO:0043565,GO:0045892,GO:0035206,GO:2000177,GO:0005634,GO:0050767,GO:0007517,GO:0031507,GO:0061332,GO:0040034,GO:0007354
gbgene327	
gbgene328	
gbgene329	
gbgene330	
gbgene331	GO:0034625,GO:0019368,GO:0030176,GO:0019367,GO:0042759,GO:0030497,GO:0009922,GO:0042761,GO:0042811,GO:0034626,GO:0030148
gbgene332	
